age_cat,2020_51,2020_52,2020_53,2021_1,2021_2,2021_3,2021_4,2021_5,2021_6,2021_7,2021_8,2021_9,2021_10,2021_11,2021_12,2021_13,2021_14,2021_15,2021_16,2021_17,2021_18,2021_19,2021_20,2021_21,2021_22,2021_23,2021_24,2021_25,2021_26,2021_27,2021_28,2021_29,2021_30,2021_31,2021_32,2021_33,2021_34,2021_35,2021_36,2021_37,2021_38,2021_39,2021_40,2021_41,2021_42,2021_43,2021_44,2021_45,2021_46,2021_47,2021_48,2021_49,2021_50,2021_51,2021_52,2022_1,2022_2
0-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10946,46478,42578,22878,19361,18903,20437,13179,15134,13695,13205
12-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26860,49897,26850,15359,12167,8717,8611,7564,6133,6789,8252,9230,11347,12786,10242,9811,9861,6059,4654,3666,3013,2554,2197,1947,1635,3121,6203,5953,3767,3724,3932,4309,3127,3998,3948,4187
16-17,1,1,20,35,97,188,281,286,329,370,570,866,1243,1858,2580,4115,5633,8418,14865,11805,5241,11055,15637,10568,6557,5593,4237,3870,3433,2600,2991,3491,3969,4541,5105,4062,4181,3980,2461,1886,1514,1287,1002,840,737,585,731,649,676,543,672,880,1446,1285,1638,1500,1436
18-29,1960,5184,9281,14378,13990,12499,11183,8814,10325,8392,14185,23267,31092,38801,43172,61950,78722,74246,73586,55426,36123,34863,35229,31322,23447,20155,16379,15150,14855,13015,13996,15802,17775,18540,17699,15701,16459,14714,11380,11505,10034,8989,7839,7649,6949,6889,7211,7079,8001,9450,10183,11279,14610,17355,14650,15029,12750
30-49,7556,16968,25686,39082,39817,36739,35971,28892,34724,27465,46231,72798,90395,101798,102837,132702,153200,132523,113161,86708,56522,47753,47006,42378,31780,27669,22458,20270,18662,15704,16547,20073,23419,26919,25817,23552,23595,20949,17816,18266,15666,14512,13139,12351,11809,13360,14349,14720,16803,15324,21691,22643,23457,19168,17389,18040,14989
50-64,5768,14159,25830,39163,38364,40262,42430,36646,43585,36783,61824,95567,107548,113528,107667,125880,144661,106811,74498,58247,38524,30872,28744,24603,17876,15446,12628,11757,10208,8718,9464,11879,13123,14137,13239,11867,11635,10082,8458,8513,7438,8047,7502,7531,8019,11238,12019,11682,14380,12261,17577,17520,17539,12925,11498,11378,8557
65-79,1567,4281,10709,18546,33408,61248,70104,60272,65742,51776,81761,99199,86814,67022,57171,53455,52352,32922,23946,20152,13802,10995,9770,8123,5966,5143,4488,4202,3532,3159,3258,4297,4364,4692,4341,5987,5526,4894,3958,3917,5178,9750,7999,6975,8218,14771,13607,11268,11858,7241,9897,8789,8415,5859,4784,4560,3453
80+,44,235,3950,8817,16414,23447,23836,19932,22831,17036,27938,31398,28074,18351,15130,13395,13105,7926,5979,5097,3849,3093,2644,2079,1652,1406,1221,1141,911,811,901,1081,1113,1182,1062,1859,1590,1519,1165,1195,1579,3018,2771,2532,2902,4962,4579,3954,4015,2284,2907,2552,2370,1623,1229,1226,959
(Missing),0,0,1,4,7,0,0,1,0,0,1,2,0,0,0,4,1,0,2,1,0,2,2,1,1,1,0,0,1,0,1,0,1,1,0,0,2,1,0,0,4,1,1,1,2,2,10,14,13,28,37,29,31,20,24,11,13